sentence,label,label_name,dataset
电饭煲内胆涂层掉了，还能用吗？,0,knowledge_qa,train
纸尿裤红屁屁了，是不是过敏？能退吗,1,business,train
电吉他拾音器没声音，是不是线接错了,1,business,train
车座套尺寸不对，套不上,1,business,train
近视眼镜镜片花了，能换吗？,1,business,train
用了不到一天就坏了,3,escalate,train
隐形眼镜戴着眼红血丝，还能继续戴吗？,1,business,train
月季收到全是红蜘蛛，,заражен了！,3,escalate,train
乐高积木少了一块关键件，拼到一半拼不下去，急死了,1,business,train
窗帘能不能改个颜色？还没下单,1,business,train
徒步鞋，防水透气，V底耐磨，有推荐吗,0,knowledge_qa,train
老客了，给个内部价呗，别让我找客服磨嘴皮子,0,knowledge_qa,train
送男朋友的，他不打游戏，就剪剪视频，推荐啥配置？,0,knowledge_qa,train
腮红是哑光还是珠光？黄皮显黑吗,0,knowledge_qa,train
卸妆油过敏，脸肿了，客服说是“排毒”，庸医！,3,escalate,train
花苗收到干了，一折就断,1,business,train
书还没发货，能不能把“精装”改成“平装”,1,business,train
维修备注“只换原装件”，别给我用副厂,1,business,train
车载香薰味道太淡了，闻不到,1,business,train
游戏账号是死绑还是活绑？能改手机号吗？,0,knowledge_qa,train
游戏账号密码忘了，怎么找回？,0,knowledge_qa,train
刹车片有异响，是安装问题还是片子问题？,1,business,train
是国行正品吗，能联保不，别拿水货忽悠我,0,knowledge_qa,train
199那个套餐，包含那个洗面奶吗？还是只有水乳？,0,knowledge_qa,train
海鲜能不能备注“多给点冰袋”,1,business,train
API接口突然挂了，工单提交3天了没人理？,3,escalate,train
猫粮物流显示“拒签”，但我没拒签啊,1,business,train
演唱会强实名，身份证丢了怎么进？,0,knowledge_qa,train
演唱会门票能开发票吗？公司团建,0,knowledge_qa,train
刚才那个券是不是没了？,0,knowledge_qa,train
退货运费险只赔10块，实际要15块，剩下5块谁出,1,business,train
睡袋温标多少？零下10度能扛吗,0,knowledge_qa,train
热水器加热太慢，洗个澡要等半小时,1,business,train
鞋子物流显示“拒签”，但我没拒签啊,1,business,train
盆栽收到有虫,1,business,train
API调用日志在哪查？显示调用成功但没收到数据,1,business,train
珍珠掉色了,1,business,train
有没有那种不卡粉的粉底液？我混油皮,0,knowledge_qa,train
想要个能连双设备的耳机，切来切去烦死了,0,knowledge_qa,train
裤子是纯棉的吗？会不会起球,0,knowledge_qa,train
车充坏了,1,business,train
送男朋友的，他不打游戏，就偶尔剪剪视频，推荐啥,0,knowledge_qa,train
钻戒坏了,1,business,train
那个新人首充优惠，老号能不能用？,0,knowledge_qa,train
空调安装完，内机漏水，墙都泡了，谁赔？,3,escalate,train
这锅涂层掉了还能用吗，有毒不,0,knowledge_qa,train
你好呀,0,knowledge_qa,train
推荐一款便宜又耐用的行李箱,0,knowledge_qa,train
设计图不满意,1,business,train
音乐节门票物流显示“已签收”，但我没收到！,1,business,train
把这条加入知识库：赠品不参与售后，请知悉,2,knowledge_mgmt,train
这本教材有配套习题册吗？单卖吗,0,knowledge_qa,train
企业发票开错，重开要等10个工作日，急用啊,1,business,train
帐篷买一送地钉吗？还是得单买,0,knowledge_qa,train
精华液漏液了，快递箱都是，怎么算,1,business,train
电风扇摇头有异响，咔咔响,1,business,train
维修进度到哪了？说好的3天修好，都5天了,1,business,train
铂金戒指不好,1,business,train
会员购买会更便宜吗,0,knowledge_qa,train
生鲜是现摘的吗？还是冷库货,0,knowledge_qa,train
跑鞋物流显示“异常”，怎么回事,1,business,train
两件一起买会便宜吗,0,knowledge_qa,train
鞋子尺码偏小，挤脚，能换大一码吗？,1,business,train
汽车贴膜有气泡，去店里说没法处理,3,escalate,train
录入：差评需先联系客服协商,2,knowledge_mgmt,train
买的在线课程可以下载离线看吗？,0,knowledge_qa,train
金戒指戴了一天就变形了，这纯度够吗？,3,escalate,train
这双运动鞋适合跑步穿吗,0,knowledge_qa,train
退货申请审核要多久,1,business,train
哈哈哈，你这机器人还挺懂穿搭,0,knowledge_qa,train
车载冰箱噪音太大，晚上吵得睡不着,1,business,train
蓝宝石坏了,1,business,train
充值的Q币怎么还没到账？,1,business,train
宠物药品会员积分能抵扣吗？我有2000积分,0,knowledge_qa,train
粉底液漏液了，快递箱都是，怎么算？,1,business,train
在吗？问个图书版本的事,0,knowledge_qa,train
有没有能进洗碗机的锅？手洗真的会谢,0,knowledge_qa,train
窗帘物流显示“拒签”，但我没拒签啊,1,business,train
订单里的尺码还能改吗,1,business,train
二手相机，主要拍视频，防抖要好,0,knowledge_qa,train
防晒霜能不能改发顺丰？补差价我出,1,business,train
扫地机器人坏了,1,business,train
玉镯尺寸不对，戴不进去,1,business,train
玉镯有棉絮，商家说是天然的不给退,1,business,train
这个商品能参加跨店满减吗,0,knowledge_qa,train
二手快递显示“已签收”，但我还没验货啊,1,business,train
帮我记一下：违规商户将被限制上传权限,2,knowledge_mgmt,train
人工客服在吗？机器人听不懂母婴需求,0,knowledge_qa,train
添加规则：售后审核24小时内完成,2,knowledge_mgmt,train
衣服标签写着不可干洗，我干洗了缩水，怪我？,3,escalate,train
能不能说人话？听不懂你的技术术语,0,knowledge_qa,train
演唱会内场票，视线有遮挡，能换座吗？,3,escalate,train
行车记录仪夜视全是雪花，根本看不清车牌,1,business,train
好的，收到了，谢啦，记得刻字,0,knowledge_qa,train
行吧，那我再等等，别让我等太久啊,0,knowledge_qa,train
地毯味道刺鼻，晾了半个月还有，甲醛超标？,3,escalate,train
客服机器人一直循环回复，转人工转了8次了，玩我呢？,3,escalate,train
卸妆油能不能改发顺丰？补差价我出,1,business,train
地毯能不能改送货时间？工作日家里没人,1,business,train
适合家用的扫地机器人推荐一下,0,knowledge_qa,train
婴儿推车有异响，客服说“正常现象”，这叫正常？,3,escalate,train
二手退货，运费险只赔8块，实际要18块，谁补？,1,business,train
电动牙刷刷头掉了，按不回去,1,business,train
钢琴琴键不回弹,1,business,train
生鲜能不能备注“放门口”，别敲门吵醒孩子,1,business,train
种子发芽率太低，一百颗就长了两颗,3,escalate,train
防潮垫漏气，睡一晚腰疼，怎么退,1,business,train
可以申请维修吗,1,business,train
能不能给点优惠啊,0,knowledge_qa,train
体育赛事门票能转卖吗？平台有二手区吗？,0,knowledge_qa,train
我的包裹什么时候派送,1,business,train
宠物疫苗后抽搐，正常吗？,1,business,train
老粉了，能不能给个专属链接？别让我去凑单了,0,knowledge_qa,train
小提琴琴码歪了，不敢自己调，能派人弄吗,1,business,train
宠物药品显示“派送中”，但快递员不接电话,1,business,train
定制橱柜的台面是石英石还是岩板？厚度多少,0,knowledge_qa,train
书物流显示“已签收”，但我没收到啊,1,business,train
记一条：新品上架需同步更新知识库,2,knowledge_mgmt,train
平板主要画画，压感好的推荐哪款？,0,knowledge_qa,train
人工！人工！家居急事！别发自动回复！,0,knowledge_qa,train
记下来：商户保证金在退店后30天退还,2,knowledge_mgmt,train
还能修改商品规格吗,1,business,train
把这条加入知识库：高危政策变更需双人复核,2,knowledge_mgmt,train
宠物寄养期间打架，受伤了，你们负责吗？,3,escalate,train
预算500以内买什么耳机,0,knowledge_qa,train
网课坏了,1,business,train
儿童床垫，要硬一点的，护脊椎,0,knowledge_qa,train
批量货少发了一箱，客服说“仓库没监控”，扯淡？,3,escalate,train
保修期刚过3天就坏了，真就这么寸？,1,business,train
能不能备注“不要放驿站”，放门口丢件我不负责,1,business,train
设计图坏了,1,business,train
维修把手机其他功能弄坏了，摄像头不聚焦了,3,escalate,train
我的快递卡住了怎么办,1,business,train
服务器带宽是独享还是共享的？,0,knowledge_qa,train
睡袋拉链卡住了，拉不上，急用啊,1,business,train
窗帘尺寸做错了，挂不上，怎么办,1,business,train
电吉他坏了,1,business,train
家用轿车，一年跑1万公里，什么轮胎静音？,0,knowledge_qa,train
轮胎发货了吗？急等着换，明天要跑高速,1,business,train
两件衣服一起买，第二件半价吗？,0,knowledge_qa,train
净水器出水有异味，过滤个啥,1,business,train
行车记录仪画面模糊，像蒙了一层雾,1,business,train
这手机打王者发热严重不，别跟我说正常现象,0,knowledge_qa,train
洗碗机门打不开了，卡死了,1,business,train
猫粮换粮后软便，客服说是正常适应期？,1,business,train
买的网课视频没有声音，只有画面,1,business,train
宠物寄养期间生病了，你们负责吗？,3,escalate,train
绿植收到有黄叶,1,business,train
宠物狗是金毛，想买个飞盘，耐咬一点的,0,knowledge_qa,train
这个帮我记住：售后满意度评价纳入商户考核,2,knowledge_mgmt,train
地毯到哪了？说好的7天送达,1,business,train
现在有没有限时优惠,0,knowledge_qa,train
登山杖发货了吗？明天要爬山，急！,1,business,train
鲜花收到蔫了，泡水里能活吗,1,business,train
订阅制续费有没有老客折扣？,0,knowledge_qa,train
添加知识：价格如有变动以订单页为准,2,knowledge_mgmt,train
今天有没有秒杀优惠,0,knowledge_qa,train
猫粮受潮了，还能吃吗？,0,knowledge_qa,train
这个保温杯可以装咖啡吗,0,knowledge_qa,train
显示“异常”，客服说是天气原因，但天气预报是晴天啊,1,business,train
刚才那个59的券怎么没了？是不是被黄牛抢光了？,0,knowledge_qa,train
医美项目做完过敏，脸肿了，怎么治？,1,business,train
沙发是真皮还是科技布？猫抓会破吗,0,knowledge_qa,train
人工！人工！定制家具急事！别发自动回复！,0,knowledge_qa,train
烤箱温度不准，烤糊了,1,business,train
改裤脚收费吗？还是免费？,0,knowledge_qa,train
行吧，那我再等等，别让孩子饿着啊,0,knowledge_qa,train
话剧票能退吗？临时有事,1,business,train
猫粮物流显示“异常”，是不是丢件了,1,business,train
漫展票能退吗？Cosplay服装没到，去不了了,1,business,train
露营新手，想要个一拉就开的帐篷，别太复杂,0,knowledge_qa,train
推荐一款适合送男朋友的礼物,0,knowledge_qa,train
显示“派送中”都一天了，是车坏了还是人跑了,1,business,train
这款显示器支持HDR吗,0,knowledge_qa,train
改裤脚的快递单号发我一下,1,business,train
记一条：内衣类商品不支持试穿后退货,2,knowledge_mgmt,train
记下来：店铺客服电话400-618-8888,2,knowledge_mgmt,train
有什么适合宝宝用的湿巾,0,knowledge_qa,train
学生认证通过了，但下单没减20，系统bug？,0,knowledge_qa,train
扫地机器人扫不干净，总是留一圈灰,1,business,train
预算2000，要拍照好看还要续航顶，别推电子垃圾,0,knowledge_qa,train
鞋子凑单满减，那个链接失效了,0,knowledge_qa,train
遮瑕膏赠品不要了，能换个小样吗,1,business,train
珍珠不好,1,business,train
企业采购能不能走对公转账？,0,knowledge_qa,train
定制刻字的钢笔，墨水漏了一盒子，字也刻歪了,3,escalate,train
生鲜跨店满减能和店铺券叠加吗？算不明白,0,knowledge_qa,train
商品有质量问题怎么办,1,business,train
你真棒,0,knowledge_qa,train
上传规则：退货地址以短信通知为准,2,knowledge_mgmt,train
送50岁阿姨的，别太老气，但也别太幼稚，难选,0,knowledge_qa,train
哈哈哈，你这机器人还挺懂行,0,knowledge_qa,train
录入：知识库数据支持CSV批量导入,2,knowledge_mgmt,train
近视手术术后复查，在你们这做还是回原医院？,0,knowledge_qa,train
二手卖家承诺“99新”，收到全是划痕，这叫欺诈？,3,escalate,train
窗帘安装完，轨道拉动有异响，师傅什么时候来修？,1,business,train
定制家具推荐个适合小户型的，收纳要多,0,knowledge_qa,train
设计图拖延交付，耽误我开业,3,escalate,train
粉底液物流三天没更新，是不是丢件了,1,business,train
金戒指尺寸不对,1,business,train
鉴定证书寄出了吗？单号查不到,1,business,train
帐篷发货了吗？周末要去露营，急！,1,business,train
猫粮里有异物，吃出个塑料片，吓死我了,3,escalate,train
定制水杯漏水了，盖子拧不紧,1,business,train
热水器不好,1,business,train
小提琴坏了,1,business,train
快递预计什么时候能到,1,business,train
把这条加入知识库：所有护肤品建议先做过敏测试,2,knowledge_mgmt,train
电水壶漏水了，底座全是水,1,business,train
展览票能开发票吗？公司报销,0,knowledge_qa,train
帮我存一条知识：防伪码查询在官网验证页面,2,knowledge_mgmt,train
添加规则：商品参数以详情页为准,2,knowledge_mgmt,train
书还没付款，能不能改个优惠券,1,business,train
宠物药品买错了型号，还没发货能改吗,1,business,train
想要个适合打游戏的手机，散热要好，别推拍照的,0,knowledge_qa,train
月季收到叶子全掉光了,1,business,train
辛苦了，大晚上的还在处理企业工单,0,knowledge_qa,train
空调不制热,1,business,train
拜拜下次再来,0,knowledge_qa,train
这款洗衣机支持高温除菌吗,0,knowledge_qa,train
沙发能不能改个颜色？还没下单,1,business,train
取消订单后还能恢复吗,1,business,train
吉他品丝突出，刮手,1,business,train
帮我记：所有赠品不参与售后，请知悉,2,knowledge_mgmt,train
小说缺章，印刷漏页，怎么换,1,business,train
收到的鞋盒被压成饼了，送人的，现在让我怎么送？,3,escalate,train
裤子洗了一次缩水5厘米，这能穿？,1,business,train
腮红碎了，快递暴力，怎么赔,1,business,train
体育赛事门票能退吗？行程有变,1,business,train
话剧票能转赠给朋友吗？实名制怎么弄？,0,knowledge_qa,train
体育赛事门票能退吗？生病去不了,1,business,train
这都第5天了，还在“运输中”，是去西天取经吗,1,business,train
炉头打不着火，气罐是满的，怎么回事,1,business,train
手机壳和膜一起买有套餐价吗？,0,knowledge_qa,train
推荐一款降噪效果好的耳机,0,knowledge_qa,train
定制家具尺寸做错了，安装不上怎么办,1,business,train
赠品漏发了，补发能不能和主商品一起寄,1,business,train
宠物疫苗打完后嗜睡一天，是不是疫苗有问题？,3,escalate,train
衣服扣子掉了，才穿一次，质量堪忧,3,escalate,train
换货一般需要几天,1,business,train
录入知识：本店会员享9折优惠，积分可抵扣,2,knowledge_mgmt,train
会员积分过期了能不能延期啊，就差一点,0,knowledge_qa,train
好的收到啦,0,knowledge_qa,train
这个可以使用平台红包吗,0,knowledge_qa,train
窗帘安装完，轨道有异响，师傅什么时候来修？,1,business,train
考研真题是2025版还是2026版？别发旧书,0,knowledge_qa,train
微波炉加热有火花，吓死我了,3,escalate,train
退货运费险只赔10块，实际要15块，剩下5块谁出？,1,business,train
全屋定制安装完，尺寸错了，重做要多久？,3,escalate,train
晚安，别再给我发催付提醒了,0,knowledge_qa,train
哈哈哈，你这机器人还挺懂护肤,0,knowledge_qa,train
沙发物流显示“拒签”，但我没拒签啊,1,business,train
那个跨店满减能和店铺券叠加吗，算不明白,0,knowledge_qa,train
车载冰箱不好,1,business,train
收到的商品有划痕怎么办,1,business,train
推荐一个适合办公的椅子,0,knowledge_qa,train
帮我存一条知识：违规商户将被限制上传权限,2,knowledge_mgmt,train
电吉他琴颈弯了,1,business,train
珍珠有瑕疵，表面有坑,1,business,train
宠物疫苗本丢了，能补吗？,0,knowledge_qa,train
演唱会门票能代拍吗？自己抢不到,0,knowledge_qa,train
防潮垫地址填错了，还没揽收，赶紧改,1,business,train
二手卖家说“已发货”，但物流单号查不到,1,business,train
猫粮里有塑料，吃出问题了，赔钱！,3,escalate,train
小说是未删减版吗？有没有敏感词,0,knowledge_qa,train
帮我存一条：生鲜类不支持7天无理由退货,2,knowledge_mgmt,train
好的，收到了，谢啦，发票记得开,0,knowledge_qa,train
这牛排是原切还是合成的？配料表有卡拉胶吗,0,knowledge_qa,train
漫画能不能备注“不要腰封”？送人,1,business,train
最近有什么优惠活动,0,knowledge_qa,train
电子琴按键塌陷了，按下去弹不起来,1,business,train
快递为什么一直停在转运中心,1,business,train
换货发回来的还是坏的，这次能不能检查好再发,1,business,train
全屋定制安装完，颜色发错，重做要多久？,3,escalate,train
金饰克重少了0.5克，这误差也太大了,3,escalate,train
说是真钻，结果鉴定是莫桑石，退一赔三！,3,escalate,train
鲜花说好的99朵，数了只有88朵,3,escalate,train
想要本适合零基础入门的Python书，别推太深的,0,knowledge_qa,train
二手交易，能不能把“顺丰”改成“京东”？,1,business,train
婴儿湿巾太干了，擦屁股都擦不干净，水分不够,1,business,train
油皮粉底液，持妆久，不暗沉，有推荐吗,0,knowledge_qa,train
医美项目做完没效果，退款！,3,escalate,train
保养完发动机亮故障灯，你们怎么搞的？,3,escalate,train
婴儿奶粉打开里面有结块，是不是受潮了？还能喝吗？,1,business,train
人工客服在吗？机器人听不懂企业需求,0,knowledge_qa,train
铂金项链太细了，一扯就断,1,business,train
遮瑕膏氧化发灰，像唱戏的，虚假宣传！,3,escalate,train
想买个办公显示器有什么推荐,0,knowledge_qa,train
车衣贴完边缘翘起来了，才贴了一个月,1,business,train
你们这质量是认真的吗？线头比线还长，当我是瞎子？,3,escalate,train
主播说买一送三，送的是正装还是小样啊？别忽悠人,0,knowledge_qa,train
辛苦了，大晚上的还在处理户外工单,0,knowledge_qa,train
买的电子书怎么翻页没反应？,1,business,train
金饰工费太高了，能不能免？,0,knowledge_qa,train
3号链接刚才抢的没付款，会不会被踢库存？,1,business,train
会员权益少了，说好的送视频会员呢,3,escalate,train
上传规则：客户信息安全等级为保密,2,knowledge_mgmt,train
置物架保价多久？明天降价退差价吗,0,knowledge_qa,train
定制窗帘想要个ins风的，别太老气,0,knowledge_qa,train
二胡弓毛断了，没法拉,1,business,train
能不能说人话？听不懂你的专业术语,0,knowledge_qa,train
帮忙录入：材质标注必须与实际成分一致,2,knowledge_mgmt,train
辛苦了，大晚上的还在处理美妆工单,0,knowledge_qa,train
婴儿推车推出去轮子卡死，差点把孩子摔了，这质量谁敢用！,3,escalate,train
记录：食品类开封后不支持退货,2,knowledge_mgmt,train
精华液用了烂脸，客服说是“排毒反应”，庸医！,3,escalate,train
买的网课能退款吗？还没开始看,1,business,train
还没付款，能不能改个企业优惠券？,1,business,train
床垫现在下定金，尾款能打折吗,0,knowledge_qa,train
水果收到有虫眼，虽然不多但膈应，能赔吗,1,business,train
拼图少了一块，怎么补？,1,business,train
热水器漏水了，把地板都泡了，怎么赔！,3,escalate,train
能不能说人话？听不懂你的汽车术语,0,knowledge_qa,train
辛苦了，大晚上的还在上班,0,knowledge_qa,train
榨汁机刀片钝了，榨不动水果,1,business,train
哈哈哈，你这机器人还挺逗,0,knowledge_qa,train
推荐一款适合打游戏的手机,0,knowledge_qa,train
二手手机屏幕有没有划痕？电池健康度多少？,0,knowledge_qa,train
萨克斯按键掉了,1,business,train
生鲜物流显示“已签收”，但我没收到，快递偷吃了？,3,escalate,train
话剧票能改时间吗？临时加班,1,business,train
上传规则：差评需先联系客服协商,2,knowledge_mgmt,train
可以申请价格保护吗,0,knowledge_qa,train
游戏账号买回来就被找回了，这叫“安全交易”？,3,escalate,train
车载冰箱门关不严,1,business,train
给老人买什么手机比较合适,0,knowledge_qa,train
冰箱送到发现侧面有个大坑，外包装完好，这算谁的责任？,1,business,train
虚拟商品激活码无效，怎么换？,1,business,train
翡翠颜色暗，不好看,1,business,train
手机寄回修好了吗？大概哪天能到？,1,business,train
婴儿纸尿裤红屁屁了，是不是材质有问题？,3,escalate,train
好的，收到了，谢啦,0,knowledge_qa,train
帐篷支架断了，刚用一次，怎么赔,1,business,train
粉底液氧化太快，出门两小时变黄脸婆，虚假宣传！,3,escalate,train
存储规则：线下门店也支持线上下单售后,2,knowledge_mgmt,train
净水器坏了,1,business,train
批量采购的赠品，能不能换成别的？,1,business,train
猫传腹打针位置有硬块，正常吗？,0,knowledge_qa,train
晚安，别再给我发消息了,0,knowledge_qa,train
录入知识：退款金额不含优惠券部分,2,knowledge_mgmt,train
物流显示“已揽收”但24小时没动静，是不是丢件了？,1,business,train
哈喽,0,knowledge_qa,train
猫砂刚拆封猫闻了一下就跑，说是豆腐砂，一股香精味，能退吗？,1,business,train
运费险怎么理赔？在哪点？,1,business,train
帮我添加：客户信息安全等级为保密,2,knowledge_mgmt,train
日常戴的银手镯，别太细的，容易断,0,knowledge_qa,train
床垫到哪了？说好的15天送达,1,business,train
登山杖是碳纤维还是铝合金？重不重,0,knowledge_qa,train
兰花叶子有黑斑,1,business,train
小提琴琴弓弯了，没法用,1,business,train
生鲜少发了一盒，怎么补发？,1,business,train
破壁机杯体裂了，刚用两次就裂了,1,business,train
